layers,lr,batch,val_acc,error,time_s,co2_kg
"(32,)",0.0001,16,0.757201646090535,0.24279835390946503,0.7561330795288086,3.7203399112170685e-06
"(32,)",0.0001,32,0.7541152263374485,0.24588477366255146,0.4203963279724121,3.270652241092483e-06
"(32,)",0.0001,64,0.727366255144033,0.27263374485596703,0.2554280757904053,2.3278358240633686e-06
"(32,)",0.0001,128,0.6954732510288066,0.30452674897119336,0.15954875946044922,2.919998530797947e-06
"(32,)",0.0001,256,0.668724279835391,0.33127572016460904,0.11890292167663574,2.8586504061863648e-06
"(32,)",0.0005,16,0.7839506172839507,0.21604938271604934,0.7285029888153076,3.6783719054977605e-06
"(32,)",0.0005,32,0.779835390946502,0.220164609053498,0.401273250579834,3.2421151767304404e-06
"(32,)",0.0005,64,0.7746913580246914,0.22530864197530864,0.2501378059387207,3.0401057261859154e-06
"(32,)",0.0005,128,0.7685185185185185,0.2314814814814815,0.15965747833251953,2.957638639864897e-06
"(32,)",0.0005,256,0.7551440329218106,0.24485596707818935,0.12707138061523438,2.870619521109223e-06
"(32,)",0.001,16,0.7860082304526749,0.21399176954732513,0.7384653091430664,3.6891053559919218e-06
"(32,)",0.001,32,0.7860082304526749,0.21399176954732513,0.41086816787719727,3.264518732835472e-06
"(32,)",0.001,64,0.7880658436213992,0.2119341563786008,0.2636897563934326,3.0829422302743788e-06
"(32,)",0.001,128,0.7788065843621399,0.2211934156378601,0.16042256355285645,2.920454680769443e-06
"(32,)",0.001,256,0.7736625514403292,0.22633744855967075,0.11862492561340332,2.8875225753975093e-06
"(32,)",0.005,16,0.7890946502057613,0.2109053497942387,0.7372732162475586,3.70506286307365e-06
"(32,)",0.005,32,0.7952674897119342,0.20473251028806583,0.439471960067749,3.313679162830734e-06
"(32,)",0.005,64,0.7890946502057613,0.2109053497942387,0.26300477981567383,2.9899410745858216e-06
"(32,)",0.005,128,0.7818930041152263,0.21810699588477367,0.16842031478881836,2.9331425245972705e-06
"(32,)",0.005,256,0.7880658436213992,0.2119341563786008,0.1189124584197998,2.869062802434053e-06
"(32,)",0.01,16,0.7921810699588477,0.20781893004115226,0.7450635433197021,3.529243008695486e-06
"(32,)",0.01,32,0.8024691358024691,0.19753086419753085,0.4299027919769287,3.285106668408359e-06
"(32,)",0.01,64,0.7932098765432098,0.20679012345679015,0.23958706855773926,3.03408100226371e-06
"(32,)",0.01,128,0.7818930041152263,0.21810699588477367,0.15524578094482422,2.621138280775416e-06
"(32,)",0.01,256,0.7860082304526749,0.21399176954732513,0.11748600006103516,2.8636506695110017e-06
"(32,)",0.05,16,0.7788065843621399,0.2211934156378601,0.7379872798919678,3.692183763803004e-06
"(32,)",0.05,32,0.779835390946502,0.220164609053498,0.3950221538543701,2.849678529937118e-06
"(32,)",0.05,64,0.7808641975308642,0.21913580246913578,0.2322402000427246,3.0241962723173593e-06
"(32,)",0.05,128,0.7808641975308642,0.21913580246913578,0.1526479721069336,2.9371147218059554e-06
"(32,)",0.05,256,0.7932098765432098,0.20679012345679015,0.11255764961242676,2.386832566587564e-06
"(64,)",0.0001,16,0.7736625514403292,0.22633744855967075,0.8332653045654297,3.900623531318582e-06
"(64,)",0.0001,32,0.7716049382716049,0.22839506172839508,0.4661996364593506,3.336905043327433e-06
"(64,)",0.0001,64,0.7664609053497943,0.23353909465020573,0.2958049774169922,2.5289426648660004e-06
"(64,)",0.0001,128,0.7417695473251029,0.2582304526748971,0.20801734924316406,2.996970703639542e-06
"(64,)",0.0001,256,0.7088477366255144,0.29115226337448563,0.15551161766052246,2.9126055037458706e-06
"(64,)",0.0005,16,0.7901234567901234,0.2098765432098766,0.8163092136383057,3.2541810880254852e-06
"(64,)",0.0005,32,0.7901234567901234,0.2098765432098766,0.4697294235229492,3.3351771416691906e-06
"(64,)",0.0005,64,0.7901234567901234,0.2098765432098766,0.31687355041503906,3.1272505591489457e-06
"(64,)",0.0005,128,0.779835390946502,0.220164609053498,0.20376276969909668,2.24794927015139e-06
"(64,)",0.0005,256,0.779835390946502,0.220164609053498,0.15968084335327148,2.9559606605768567e-06
"(64,)",0.001,16,0.7932098765432098,0.20679012345679015,0.8152401447296143,3.8727941253256284e-06
"(64,)",0.001,32,0.7901234567901234,0.2098765432098766,0.46273207664489746,3.3310830104292633e-06
"(64,)",0.001,64,0.7942386831275721,0.20576131687242794,0.3022139072418213,3.110429083765339e-06
"(64,)",0.001,128,0.7890946502057613,0.2109053497942387,0.20473599433898926,2.9757667947517138e-06
"(64,)",0.001,256,0.7849794238683128,0.21502057613168724,0.1615772247314453,2.9183531872921417e-06
"(64,)",0.005,16,0.7777777777777778,0.2222222222222222,0.8136634826660156,3.832865557896949e-06
"(64,)",0.005,32,0.7818930041152263,0.21810699588477367,0.4697902202606201,3.3408590048773106e-06
"(64,)",0.005,64,0.779835390946502,0.220164609053498,0.2986428737640381,3.1355059827534606e-06
"(64,)",0.005,128,0.7911522633744856,0.20884773662551437,0.21434497833251953,3.0155399309970585e-06
"(64,)",0.005,256,0.7849794238683128,0.21502057613168724,0.1627662181854248,2.9266762293532516e-06
"(64,)",0.01,16,0.7818930041152263,0.21810699588477367,0.7922186851501465,3.7975608522342073e-06
"(64,)",0.01,32,0.7839506172839507,0.21604938271604934,0.4611661434173584,3.345689382163357e-06
"(64,)",0.01,64,0.7839506172839507,0.21604938271604934,0.30201292037963867,3.1159042115056607e-06
"(64,)",0.01,128,0.7860082304526749,0.21399176954732513,0.21228337287902832,2.9172512975905457e-06
"(64,)",0.01,256,0.7962962962962963,0.20370370370370372,0.15873217582702637,2.9237418017474744e-06
"(64,)",0.05,16,0.76440329218107,0.23559670781893005,0.7908103466033936,3.7975649029938037e-06
"(64,)",0.05,32,0.7613168724279835,0.23868312757201648,0.45035600662231445,3.1332958601881806e-06
"(64,)",0.05,64,0.7674897119341564,0.23251028806584362,0.27561116218566895,3.079526594960945e-06
"(64,)",0.05,128,0.7623456790123457,0.23765432098765427,0.18173503875732422,2.9712959712572085e-06
"(64,)",0.05,256,0.7777777777777778,0.2222222222222222,0.14719557762145996,2.628673864315567e-06
"(128,)",0.0001,16,0.7818930041152263,0.21810699588477367,0.9559805393218994,4.1456032436833385e-06
"(128,)",0.0001,32,0.7736625514403292,0.22633744855967075,0.5794830322265625,3.4706398528655165e-06
"(128,)",0.0001,64,0.772633744855967,0.22736625514403297,0.40253543853759766,2.836878972646301e-06
"(128,)",0.0001,128,0.7510288065843621,0.2489711934156379,0.2974526882171631,3.1161588689735e-06
"(128,)",0.0001,256,0.727366255144033,0.27263374485596703,0.25584888458251953,3.0493869359287777e-06
"(128,)",0.0005,16,0.8055555555555556,0.19444444444444442,0.9539189338684082,3.5026644159920765e-06
"(128,)",0.0005,32,0.7921810699588477,0.20781893004115226,0.5938589572906494,3.496427282606665e-06
"(128,)",0.0005,64,0.7870370370370371,0.2129629629629629,0.3997509479522705,3.2411050804457964e-06
"(128,)",0.0005,128,0.7829218106995884,0.21707818930041156,0.3054795265197754,2.48913523827462e-06
"(128,)",0.0005,256,0.7777777777777778,0.2222222222222222,0.24985527992248535,3.0408857659970657e-06
"(128,)",0.001,16,0.8024691358024691,0.19753086419753085,0.9580700397491455,4.141914680025471e-06
"(128,)",0.001,32,0.7962962962962963,0.20370370370370372,0.5860838890075684,2.7711687992310573e-06
"(128,)",0.001,64,0.7921810699588477,0.20781893004115226,0.3987925052642822,3.257282976438051e-06
"(128,)",0.001,128,0.7921810699588477,0.20781893004115226,0.29901123046875,3.104039564025538e-06
"(128,)",0.001,256,0.7870370370370371,0.2129629629629629,0.2551701068878174,2.299347702769613e-06
"(128,)",0.005,16,0.7911522633744856,0.20884773662551437,0.9226031303405762,3.969046597967383e-06
"(128,)",0.005,32,0.7983539094650206,0.2016460905349794,0.5894403457641602,3.502414551554414e-06
"(128,)",0.005,64,0.7973251028806584,0.2026748971193416,0.40640878677368164,3.2441243637042566e-06
"(128,)",0.005,128,0.7962962962962963,0.20370370370370372,0.30463290214538574,3.1103048289573686e-06
"(128,)",0.005,256,0.7880658436213992,0.2119341563786008,0.2448112964630127,3.0464151131177086e-06
"(128,)",0.01,16,0.8065843621399177,0.1934156378600823,0.9007508754730225,3.983292765561761e-06
"(128,)",0.01,32,0.7932098765432098,0.20679012345679015,0.5465974807739258,3.457508660022132e-06
"(128,)",0.01,64,0.7932098765432098,0.20679012345679015,0.36724305152893066,3.1961704499592287e-06
"(128,)",0.01,128,0.7901234567901234,0.2098765432098766,0.30236005783081055,3.117675450401753e-06
"(128,)",0.01,256,0.7921810699588477,0.20781893004115226,0.24840402603149414,3.0478358767228126e-06
"(128,)",0.05,16,0.7685185185185185,0.2314814814814815,1.0080626010894775,4.22196986971515e-06
"(128,)",0.05,32,0.772633744855967,0.22736625514403297,0.5023093223571777,3.4049422743372466e-06
"(128,)",0.05,64,0.7788065843621399,0.2211934156378601,0.31792306900024414,3.1683531448670978e-06
"(128,)",0.05,128,0.7890946502057613,0.2109053497942387,0.2424163818359375,3.0329062108855167e-06
"(128,)",0.05,256,0.7818930041152263,0.21810699588477367,0.21022534370422363,2.996691275554115e-06
"(256,)",0.0001,16,0.7860082304526749,0.21399176954732513,1.2047808170318604,4.642118391737622e-06
"(256,)",0.0001,32,0.7829218106995884,0.21707818930041156,0.7982561588287354,3.8054175677705924e-06
"(256,)",0.0001,64,0.7705761316872428,0.22942386831275718,0.5910179615020752,2.933738477089409e-06
"(256,)",0.0001,128,0.7674897119341564,0.23251028806584362,0.4844777584075928,3.3602534025189724e-06
"(256,)",0.0001,256,0.742798353909465,0.257201646090535,0.48393702507019043,3.378367642610343e-06
"(256,)",0.0005,16,0.8024691358024691,0.19753086419753085,1.2105188369750977,3.8988015951833596e-06
"(256,)",0.0005,32,0.7983539094650206,0.2016460905349794,0.8220212459564209,3.832543992786553e-06
"(256,)",0.0005,64,0.7901234567901234,0.2098765432098766,0.5998992919921875,3.525738180176299e-06
"(256,)",0.0005,128,0.7880658436213992,0.2119341563786008,0.4954097270965576,3.0334956693256817e-06
"(256,)",0.0005,256,0.7849794238683128,0.21502057613168724,0.48467206954956055,3.3899019536497265e-06
"(256,)",0.001,16,0.7932098765432098,0.20679012345679015,1.1904146671295166,4.356973232931504e-06
"(256,)",0.001,32,0.7973251028806584,0.2026748971193416,0.8082566261291504,3.5172804622524898e-06
"(256,)",0.001,64,0.7921810699588477,0.20781893004115226,0.5895273685455322,3.49632092934401e-06
