n_layers,n_neurons,learning_rate,batch_size,val_accuracy,error,time_s,co2_kg
1,256,0.01,256,0.8076131687242798,0.1923868312757202,0.5242884159088135,3.3978280241991877e-06
5,32,0.0005,32,0.7921810699588477,0.20781893004115226,1.21321702003479,4.661284334305783e-06
4,64,0.01,256,0.7860082304526749,0.21399176954732513,0.8039336204528809,3.110140415123745e-06
3,128,0.0001,32,0.7829218106995884,0.21707818930041156,3.9171597957611084,8.633507534340539e-06
3,128,0.01,64,0.8045267489711934,0.19547325102880664,2.5459048748016357,6.26431143585643e-06
6,32,0.01,128,0.7952674897119342,0.20473251028806583,0.5629193782806396,3.4694684250988544e-06
1,128,0.01,16,0.8065843621399177,0.1934156378600823,0.8921492099761963,3.985645243072994e-06
5,32,0.005,64,0.801440329218107,0.19855967078189296,0.75132155418396,3.7181167312390537e-06
2,256,0.001,64,0.8127572016460906,0.18724279835390945,6.614164590835571,1.3145023177823092e-05
1,256,0.01,128,0.7993827160493827,0.2006172839506173,0.43825268745422363,3.3192694464962567e-06
4,512,0.0005,256,0.7788065843621399,0.2211934156378601,21.560023307800293,3.7536478852529556e-05
6,256,0.01,128,0.8055555555555556,0.19444444444444442,16.561453580856323,2.9594226139807308e-05
5,64,0.005,64,0.7818930041152263,0.21810699588477367,1.2027051448822021,4.649110051002455e-06
5,512,0.001,64,0.7808641975308642,0.21913580246913578,109.97445225715637,0.0001758617467938928
5,128,0.005,64,0.7973251028806584,0.2026748971193416,5.320885896682739,1.0790646106150005e-05
5,64,0.005,256,0.7788065843621399,0.2211934156378601,1.3341293334960938,4.841786105559026e-06
4,512,0.0001,32,0.8168724279835391,0.1831275720164609,179.18596529960632,0.00029747576942125995
1,64,0.0001,16,0.7736625514403292,0.22633744855967075,1.4701387882232666,3.9173988724161965e-06
6,32,0.0005,32,0.7880658436213992,0.2119341563786008,2.5445587635040283,5.887472661406854e-06
3,128,0.0001,16,0.7901234567901234,0.2098765432098766,8.35014033317566,1.7380692569625072e-05
4,256,0.001,16,0.7983539094650206,0.2016460905349794,36.011414766311646,6.730510281923706e-05
3,32,0.01,16,0.7942386831275721,0.20576131687242794,2.192986488342285,5.096724446130379e-06
2,128,0.005,128,0.7870370370370371,0.2129629629629629,2.125473976135254,5.4199938005930935e-06
6,32,0.001,128,0.7860082304526749,0.21399176954732513,0.7925238609313965,2.851663145023374e-06
5,256,0.05,128,0.7705761316872428,0.22942386831275718,21.715347051620483,4.131586356530046e-05
4,128,0.005,64,0.808641975308642,0.191358024691358,4.854167222976685,1.0180113178568023e-05
3,64,0.0001,128,0.7788065843621399,0.2211934156378601,1.0794475078582764,3.703205693147351e-06
5,64,0.01,16,0.7890946502057613,0.2109053497942387,4.503652811050415,1.0284866499216768e-05
4,128,0.005,256,0.7942386831275721,0.20576131687242794,5.551018953323364,1.3170244846391838e-05
3,256,0.005,64,0.8148148148148148,0.18518518518518523,20.45456886291504,4.070962214324081e-05
3,512,0.005,256,0.7993827160493827,0.2006172839506173,22.23654556274414,4.495633380858379e-05
2,128,0.005,16,0.7901234567901234,0.2098765432098766,5.55796480178833,1.3308366963032573e-05
1,32,0.0001,64,0.727366255144033,0.27263374485596703,0.36528778076171875,2.1969070626094987e-06
4,512,0.005,128,0.8004115226337448,0.19958847736625518,55.71648359298706,9.947498372660827e-05
6,256,0.01,64,0.7685185185185185,0.2314814814814815,47.52869772911072,8.165609183281047e-05
1,256,0.0005,64,0.7901234567901234,0.2098765432098766,1.2169570922851562,3.499208740473325e-06
6,32,0.005,16,0.7829218106995884,0.21707818930041156,3.4798543453216553,7.145357899123047e-06
5,64,0.0001,32,0.7788065843621399,0.2211934156378601,4.197089910507202,8.548756309700661e-06
2,256,0.001,32,0.8076131687242798,0.1923868312757202,13.713148832321167,2.4141012016924827e-05
4,512,0.001,32,0.7911522633744856,0.20884773662551437,193.97063302993774,0.0003166295258866463
1,128,0.05,128,0.7890946502057613,0.2109053497942387,0.3457925319671631,2.0574700873305917e-06
5,512,0.0005,128,0.8127572016460906,0.18724279835390945,71.79523253440857,0.00011880672416072362
3,64,0.001,32,0.8076131687242798,0.1923868312757202,1.6461961269378662,4.1679630363039e-06
1,512,0.05,256,0.7777777777777778,0.2222222222222222,1.2357804775238037,3.491429746742316e-06
6,64,0.05,16,0.6327160493827161,0.3672839506172839,2.1128501892089844,4.911675975986925e-06
3,64,0.0001,32,0.7993827160493827,0.2006172839506173,1.6080641746520996,4.087407441204335e-06
6,256,0.0005,16,0.7849794238683128,0.21502057613168724,66.40540862083435,0.00010760911023980632
5,256,0.01,32,0.7973251028806584,0.2026748971193416,39.04911208152771,6.455275061253875e-05
5,32,0.0001,256,0.772633744855967,0.22736625514403297,0.49588704109191895,2.2914145498953286e-06
4,128,0.01,256,0.7993827160493827,0.2006172839506173,5.411862850189209,1.1313546604199084e-05
5,256,0.0001,32,0.801440329218107,0.19855967078189296,42.32106375694275,6.99238437780078e-05
5,128,0.001,32,0.8106995884773662,0.18930041152263377,14.082852840423584,2.4894090132769177e-05
3,32,0.0001,32,0.7746913580246914,0.22530864197530864,1.1077449321746826,3.286429528244372e-06
5,32,0.0005,128,0.801440329218107,0.19855967078189296,0.6847882270812988,2.600892087801859e-06
3,256,0.001,32,0.7880658436213992,0.2119341563786008,22.752532482147217,3.827484970758066e-05
4,512,0.0001,64,0.7932098765432098,0.20679012345679015,114.60126423835754,0.0002010105379292744
1,512,0.01,128,0.7973251028806584,0.2026748971193416,1.294867753982544,4.07745145717018e-06
1,64,0.01,256,0.7962962962962963,0.20370370370370372,0.18899250030517578,1.933074403743147e-06
3,128,0.005,64,0.8045267489711934,0.19547325102880664,3.2257001399993896,7.69318879655257e-06
2,64,0.0001,16,0.7932098765432098,0.20679012345679015,2.220471143722534,5.085314654902682e-06
6,32,0.005,128,0.7829218106995884,0.21707818930041156,0.8147830963134766,2.7987016001034666e-06
1,512,0.01,16,0.7890946502057613,0.2109053497942387,2.0794849395751953,4.860353996981484e-06
4,64,0.005,128,0.7952674897119342,0.20473251028806583,1.4050297737121582,3.7569676990823625e-06
5,64,0.0001,256,0.7849794238683128,0.21502057613168724,1.3042590618133545,3.597832003899116e-06
1,64,0.05,128,0.7623456790123457,0.23765432098765427,0.22164678573608398,1.8619650053942707e-06
5,64,0.01,32,0.7849794238683128,0.21502057613168724,2.493483066558838,5.5478743309134985e-06
2,512,0.001,64,0.7983539094650206,0.2016460905349794,41.64673972129822,7.435798656820993e-05
