n_layers,n_neurons,learning_rate,batch_size,error,time_s,co2_kg
5,32,0.0005,128,0.19855967078189296,0.6847882270812988,2.600892087801859e-06
1,64,0.01,256,0.20370370370370372,0.18899250030517578,1.933074403743147e-06
1,32,0.001,64,0.2119341563786008,0.244093656539917,1.8646594115311828e-06
1,128,0.05,256,0.21810699588477367,0.19495511054992676,1.7996350765938132e-06
3,64,0.01,128,0.2006172839506173,0.6747515201568604,2.5599277640845675e-06
2,64,0.005,128,0.2016460905349794,0.4730372428894043,2.2555253013979984e-06
1,32,0.05,256,0.20679012345679015,0.11052918434143066,2.9270984050489817e-06
1,32,0.001,256,0.22633744855967075,0.12340235710144043,2.6239683321423287e-06
1,32,0.0005,256,0.24485596707818935,0.11635684967041016,2.9002337916557327e-06
1,32,0.0001,256,0.33127572016460904,0.11043262481689453,2.889212788813686e-06
2,256,0.001,128,0.18106995884773658,4.895793676376343,1.0792117528642173e-05
1,32,0.005,256,0.2119341563786008,0.1217339038848877,2.900228304757202e-06
1,32,0.01,256,0.21399176954732513,0.1175839900970459,2.8816223997000377e-06
2,32,0.005,256,0.19958847736625518,0.17858004570007324,2.9895944072672464e-06
1,64,0.0001,256,0.29115226337448563,0.16555190086364746,2.609148869446805e-06
2,32,0.01,256,0.18827160493827155,0.18807721138000488,2.9923560132695012e-06
