layers,lr,batch,val_acc,error,time_s,co2_kg
"(32,)",0.0001,16,0.757201646090535,0.24279835390946503,0.7756912708282471,3.793776072005242e-06
"(32,)",0.0001,32,0.7541152263374485,0.24588477366255146,0.4361846446990967,3.3378609624589617e-06
"(32,)",0.0001,64,0.727366255144033,0.27263374485596703,0.24916481971740723,3.0685247838060587e-06
"(32,)",0.0001,128,0.6954732510288066,0.30452674897119336,0.16478610038757324,2.921386379123423e-06
"(32,)",0.0001,256,0.668724279835391,0.33127572016460904,0.11570453643798828,2.884842544266489e-06
"(32,)",0.0005,16,0.7839506172839507,0.21604938271604934,0.7635557651519775,3.7501141929560297e-06
"(32,)",0.0005,32,0.779835390946502,0.220164609053498,0.43953895568847656,3.325520102564206e-06
"(32,)",0.0005,64,0.7746913580246914,0.22530864197530864,0.25341248512268066,3.0812096318771316e-06
"(32,)",0.0005,128,0.7685185185185185,0.2314814814814815,0.15973329544067383,2.94810920588223e-06
"(32,)",0.0005,256,0.7551440329218106,0.24485596707818935,0.1212460994720459,2.892636225035433e-06
"(32,)",0.001,16,0.7860082304526749,0.21399176954732513,0.7663044929504395,3.759257704643806e-06
"(32,)",0.001,32,0.7860082304526749,0.21399176954732513,0.41802191734313965,3.2882019704197797e-06
"(32,)",0.001,64,0.7880658436213992,0.2119341563786008,0.2542903423309326,3.0703942228465784e-06
"(32,)",0.001,128,0.7788065843621399,0.2211934156378601,0.15915775299072266,2.9500841671171715e-06
"(32,)",0.001,256,0.7736625514403292,0.22633744855967075,0.11212277412414551,2.8797021941662855e-06
"(32,)",0.005,16,0.7890946502057613,0.2109053497942387,0.7328956127166748,3.689282400802076e-06
"(32,)",0.005,32,0.7952674897119342,0.20473251028806583,0.42581677436828613,3.298985620548468e-06
"(32,)",0.005,64,0.7890946502057613,0.2109053497942387,0.24683618545532227,3.0412271887102856e-06
"(32,)",0.005,128,0.7818930041152263,0.21810699588477367,0.16153430938720703,2.9455616079814376e-06
"(32,)",0.005,256,0.7880658436213992,0.2119341563786008,0.11828327178955078,2.8864438349104274e-06
"(32,)",0.01,16,0.7921810699588477,0.20781893004115226,0.7594170570373535,3.740045725916435e-06
"(32,)",0.01,32,0.8024691358024691,0.19753086419753085,0.40961766242980957,3.2812362664672713e-06
"(32,)",0.01,64,0.7932098765432098,0.20679012345679015,0.27099609375,3.107252808415164e-06
"(32,)",0.01,128,0.7818930041152263,0.21810699588477367,0.15924692153930664,2.918538771926484e-06
