layers,lr,batch,val_acc,error,time_s,co2_kg
"(256,)",0.0001,64,0.7705761316872428,0.22942386831275718,0.8248231410980225,3.875543789804377e-06
"(512, 512, 512, 512, 512, 512)",0.0005,64,0.801440329218107,0.19855967078189296,144.777658700943,0.00022182430800608114
"(512, 512, 512)",0.01,128,0.8024691358024691,0.19753086419753085,33.463961601257324,5.41812162412611e-05
"(32, 32, 32, 32)",0.01,256,0.7911522633744856,0.20884773662551437,0.37393856048583984,3.2134412071490775e-06
"(512, 512, 512, 512)",0.005,256,0.8004115226337448,0.19958847736625518,28.21471071243286,4.684557769313736e-05
"(512, 512, 512, 512, 512, 512)",0.0001,128,0.8137860082304527,0.18621399176954734,82.13032126426697,0.00012760305454343157
"(256, 256)",0.001,32,0.8076131687242798,0.1923868312757202,13.04135274887085,2.3266805985135865e-05
"(256, 256, 256, 256)",0.001,16,0.7983539094650206,0.2016460905349794,29.476349115371704,4.759857651677302e-05
"(32, 32, 32)",0.001,32,0.7880658436213992,0.2119341563786008,1.125058650970459,4.440285136681719e-06
"(64, 64, 64, 64)",0.001,16,0.7860082304526749,0.21399176954732513,3.4069037437438965,8.004483532070284e-06
"(32, 32)",0.01,64,0.7839506172839507,0.21604938271604934,0.45296525955200195,3.3115245877895917e-06
"(512, 512)",0.05,256,0.7695473251028807,0.2304526748971193,11.295373678207397,2.139683205196989e-05
"(32,)",0.05,128,0.7808641975308642,0.21913580246913578,0.20118927955627441,3.027730207705804e-06
"(128, 128, 128)",0.001,256,0.8034979423868313,0.19650205761316875,4.959354877471924,1.083124136704176e-05
"(128, 128, 128, 128)",0.01,128,0.7942386831275721,0.20576131687242794,3.986405611038208,8.918563864877875e-06
"(128, 128, 128, 128)",0.05,32,0.7561728395061729,0.24382716049382713,5.9345784187316895,1.2089330463676718e-05
"(128, 128, 128, 128)",0.0001,128,0.7921810699588477,0.20781893004115226,4.459904909133911,9.621570961976318e-06
"(128, 128, 128, 128, 128)",0.05,128,0.7849794238683128,0.21502057613168724,4.8200461864471436,1.000182386510346e-05
"(64, 64, 64)",0.01,16,0.7973251028806584,0.2026748971193416,3.499818801879883,8.027363358180903e-06
"(64, 64)",0.005,256,0.8045267489711934,0.19547325102880664,0.5130364894866943,3.4105703435113852e-06
"(256, 256, 256, 256, 256, 256)",0.0005,32,0.8189300411522634,0.18106995884773658,49.316545486450195,7.714125946906277e-05
"(256, 256, 256)",0.0005,128,0.7993827160493827,0.2006172839506173,12.92250943183899,2.4169112310186177e-05
"(256, 256, 256, 256)",0.0001,256,0.8034979423868313,0.19650205761316875,11.45923113822937,2.2489974545141743e-05
"(256, 256, 256, 256)",0.01,16,0.7808641975308642,0.21913580246913578,32.468727827072144,5.2201469930401975e-05
"(128, 128, 128, 128, 128, 128)",0.0001,32,0.7901234567901234,0.2098765432098766,9.98508906364441,1.7966489690992766e-05
"(128, 128, 128, 128, 128)",0.05,256,0.779835390946502,0.220164609053498,7.648105144500732,1.5657904446930225e-05
"(256, 256, 256)",0.0005,64,0.8004115226337448,0.19958847736625518,21.68844699859619,3.626543850019281e-05
"(64, 64, 64, 64, 64, 64)",0.01,32,0.7777777777777778,0.2222222222222222,2.5357773303985596,6.552334394261251e-06
"(128, 128, 128, 128)",0.005,128,0.7921810699588477,0.20781893004115226,4.257619142532349,9.265657053142147e-06
"(512, 512, 512, 512, 512)",0.001,16,0.7962962962962963,0.20370370370370372,505.22395515441895,0.0007545836804431769
"(128, 128, 128, 128, 128, 128)",0.0005,64,0.7952674897119342,0.20473251028806583,6.3957273960113525,1.2450445243068571e-05
"(128, 128)",0.01,64,0.7952674897119342,0.20473251028806583,1.6090219020843506,5.297973651012661e-06
"(64,)",0.0005,32,0.7901234567901234,0.2098765432098766,0.6337909698486328,3.6147229853655067e-06
"(256, 256, 256, 256, 256, 256)",0.05,32,0.7911522633744856,0.20884773662551437,48.93840479850769,7.748170351186576e-05
"(256, 256, 256, 256)",0.0005,128,0.808641975308642,0.191358024691358,17.722901105880737,3.2757319471157704e-05
"(32, 32)",0.01,256,0.8117283950617284,0.18827160493827155,0.23742103576660156,2.2727271999835204e-06
