n_layers,n_neurons,learning_rate,batch_size,error,time_s,co2_kg
1,128,0.05,128,0.2109053497942387,0.22682809829711914,2.395724057068679e-06
2,32,0.005,128,0.20473251028806583,0.2684061527252197,2.5679403829477043e-06
4,32,0.01,128,0.18930041152263377,0.3967020511627197,3.2985074524760806e-06
1,128,0.005,128,0.20370370370370372,0.29441094398498535,2.2665688871397206e-06
1,32,0.05,256,0.20679012345679015,0.10874223709106445,2.8668626985501755e-06
1,32,0.005,128,0.21810699588477367,0.1529102325439453,2.5327589191303485e-06
4,32,0.005,256,0.2026748971193416,0.3109123706817627,3.15008147493847e-06
5,32,0.005,128,0.18827160493827155,0.5105812549591064,3.4109199083764088e-06
1,64,0.01,256,0.20370370370370372,0.2532463073730469,3.0789445564586384e-06
2,256,0.001,128,0.18106995884773658,4.562531232833862,1.0262099419262596e-05
