layers,lr,batch,val_acc,error,time_s,co2_kg
"(32,)",0.001,256,0.7736625514403292,0.22633744855967075,0.11212277412414551,2.8797021941662855e-06
"(32,)",0.01,256,0.7860082304526749,0.21399176954732513,0.12006187438964844,2.8780811806302513e-06
"(32,)",0.05,256,0.7932098765432098,0.20679012345679015,0.1087183952331543,2.8813820275544468e-06
"(64,)",0.01,256,0.7962962962962963,0.20370370370370372,0.15761399269104004,2.9411175536961515e-06
"(128,)",0.01,256,0.7921810699588477,0.20781893004115226,0.2557239532470703,2.3372996509789014e-06
"(32, 32)",0.005,256,0.8004115226337448,0.19958847736625518,0.22099542617797852,3.014678022682526e-06
"(32, 32)",0.01,256,0.8117283950617284,0.18827160493827155,0.2227766513824463,3.0119489158013296e-06
"(256, 256)",0.001,128,0.8189300411522634,0.18106995884773658,7.398732423782349,1.5057545442183246e-05
"(32, 32, 32, 32)",0.005,256,0.7973251028806584,0.2026748971193416,0.4320189952850342,2.3321367236982135e-06
"(32, 32, 32, 32)",0.01,128,0.8106995884773662,0.18930041152263377,0.5346503257751465,2.4935084309477835e-06
"(32, 32, 32, 32)",0.05,256,0.779835390946502,0.220164609053498,0.3477213382720947,2.1471556698204268e-06
"(512, 512, 512, 512, 512, 512)",0.0001,64,0.8220164609053497,0.17798353909465026,147.02382850646973,0.00022470481393204928
