layers,lr,batch,val_acc,error,time_s,co2_kg
"(32,)",0.0005,256,0.7551440329218106,0.24485596707818935,0.10810685157775879,1.6551455134059298e-06
"(32,)",0.05,256,0.7932098765432098,0.20679012345679015,0.10709357261657715,1.6565539086571564e-06
"(64,)",0.01,256,0.7962962962962963,0.20370370370370372,0.1518573760986328,1.7421255020633966e-06
"(32, 32)",0.005,256,0.8004115226337448,0.19958847736625518,0.19173216819763184,1.7959705114661041e-06
"(32, 32)",0.01,256,0.8117283950617284,0.18827160493827155,0.19182181358337402,1.7944808774404183e-06
"(256, 256)",0.001,128,0.8189300411522634,0.18106995884773658,4.76799750328064,1.0117947499599762e-05
"(512, 512, 512, 512, 512, 512)",0.0001,64,0.8220164609053497,0.17798353909465026,114.88584280014038,0.0001915273843514244
