n_layers,n_neurons,learning_rate,batch_size,error,time_s,co2_kg
1,32,0.001,256,0.22633744855967075,0.14186382293701172,1.7283914592649785e-06
1,32,0.05,256,0.20679012345679015,0.147691011428833,1.7062929330154096e-06
2,32,0.005,256,0.19958847736625518,0.23809385299682617,1.8600336121299015e-06
2,256,0.001,128,0.18106995884773658,7.427051782608032,1.4193953277691495e-05
2,32,0.01,256,0.18827160493827155,0.2545344829559326,1.8813238106595008e-06
