layers,lr,batch,val_acc,error,time_s,co2_kg
"(32,)",0.0001,16,0.757201646090535,0.24279835390946503,0.9475131034851074,4.117706057937347e-06
"(32,)",0.0001,32,0.7541152263374485,0.24588477366255146,0.540245771408081,3.3953198434161032e-06
"(32,)",0.0001,64,0.727366255144033,0.27263374485596703,0.2645375728607178,3.0579108374459194e-06
"(32,)",0.0001,128,0.6954732510288066,0.30452674897119336,0.21384859085083008,2.996203126051145e-06
"(32,)",0.0001,256,0.668724279835391,0.33127572016460904,0.11312508583068848,2.719013360636577e-06
"(32,)",0.0005,16,0.7839506172839507,0.21604938271604934,0.7794828414916992,3.764351430048072e-06
"(32,)",0.0005,32,0.779835390946502,0.220164609053498,0.41646647453308105,3.258616871744844e-06
"(32,)",0.0005,64,0.7746913580246914,0.22530864197530864,0.24204492568969727,2.7969745208571634e-06
"(32,)",0.0005,128,0.7685185185185185,0.2314814814814815,0.16642403602600098,2.9211030824423594e-06
"(32,)",0.0005,256,0.7551440329218106,0.24485596707818935,0.10991263389587402,2.8451995812796517e-06
"(32,)",0.001,16,0.7860082304526749,0.21399176954732513,0.7696142196655273,3.4018823049802655e-06
"(32,)",0.001,32,0.7860082304526749,0.21399176954732513,0.4149777889251709,3.2593099246936318e-06
"(32,)",0.001,64,0.7880658436213992,0.2119341563786008,0.25298357009887695,3.0427675819821224e-06
"(32,)",0.001,128,0.7788065843621399,0.2211934156378601,0.16005611419677734,2.4825167808560295e-06
"(32,)",0.001,256,0.7736625514403292,0.22633744855967075,0.11674118041992188,2.86146294219508e-06
"(32,)",0.005,16,0.7890946502057613,0.2109053497942387,0.7687580585479736,3.7609204203059464e-06
"(32,)",0.005,32,0.7952674897119342,0.20473251028806583,0.43229007720947266,2.760881366562631e-06
"(32,)",0.005,64,0.7890946502057613,0.2109053497942387,0.2349255084991455,3.025661873452878e-06
"(32,)",0.005,128,0.7818930041152263,0.21810699588477367,0.15604639053344727,2.9117981197468995e-06
"(32,)",0.005,256,0.7880658436213992,0.2119341563786008,0.11552739143371582,2.2500334249661217e-06
"(32,)",0.01,16,0.7921810699588477,0.20781893004115226,0.7466309070587158,3.7270881792095533e-06
"(32,)",0.01,32,0.8024691358024691,0.19753086419753085,0.4281289577484131,3.283729114888917e-06
"(32,)",0.01,64,0.7932098765432098,0.20679012345679015,0.23725676536560059,2.3277102288962905e-06
"(32,)",0.01,128,0.7818930041152263,0.21810699588477367,0.15859270095825195,2.909409143479778e-06
"(32,)",0.01,256,0.7860082304526749,0.21399176954732513,0.11069369316101074,2.86585874722043e-06
"(32,)",0.05,16,0.7788065843621399,0.2211934156378601,0.7495079040527344,3.7015509674445533e-06
"(32,)",0.05,32,0.779835390946502,0.220164609053498,0.40869593620300293,3.261465414361994e-06
"(32,)",0.05,64,0.7808641975308642,0.21913580246913578,0.24352669715881348,3.0553995981342615e-06
"(32,)",0.05,128,0.7808641975308642,0.21913580246913578,0.15079450607299805,2.910427390935255e-06
"(32,)",0.05,256,0.7932098765432098,0.20679012345679015,0.10753941535949707,2.8421679887930634e-06
"(64,)",0.0001,16,0.7736625514403292,0.22633744855967075,0.8331136703491211,3.896127813060586e-06
"(64,)",0.0001,32,0.7716049382716049,0.22839506172839508,0.4890291690826416,3.3535026314074708e-06
"(64,)",0.0001,64,0.7664609053497943,0.23353909465020573,0.30320286750793457,3.104756465395326e-06
"(64,)",0.0001,128,0.7417695473251029,0.2582304526748971,0.21092677116394043,2.983472269713362e-06
"(64,)",0.0001,256,0.7088477366255144,0.29115226337448563,0.1523733139038086,2.8995097224841245e-06
"(64,)",0.0005,16,0.7901234567901234,0.2098765432098766,0.8318829536437988,3.892417590277392e-06
"(64,)",0.0005,32,0.7901234567901234,0.2098765432098766,0.48140597343444824,3.3515129571674134e-06
"(64,)",0.0005,64,0.7901234567901234,0.2098765432098766,0.30847883224487305,3.1194684383745245e-06
"(64,)",0.0005,128,0.779835390946502,0.220164609053498,0.2082662582397461,2.9701116791084006e-06
"(64,)",0.0005,256,0.779835390946502,0.220164609053498,0.15454816818237305,2.898402990704239e-06
"(64,)",0.001,16,0.7932098765432098,0.20679012345679015,0.8573386669158936,3.920986642589868e-06
"(64,)",0.001,32,0.7901234567901234,0.2098765432098766,0.48220062255859375,3.3527578464625085e-06
"(64,)",0.001,64,0.7942386831275721,0.20576131687242794,0.30250096321105957,3.1050899444597763e-06
"(64,)",0.001,128,0.7890946502057613,0.2109053497942387,0.21098566055297852,2.9872132592071545e-06
"(64,)",0.001,256,0.7849794238683128,0.21502057613168724,0.16900873184204102,2.922275611872964e-06
"(64,)",0.005,16,0.7777777777777778,0.2222222222222222,0.8453397750854492,3.9059351580862246e-06
"(64,)",0.005,32,0.7818930041152263,0.21810699588477367,0.48283910751342773,3.31029168912605e-06
"(64,)",0.005,64,0.779835390946502,0.220164609053498,0.30154895782470703,3.103640371469238e-06
"(64,)",0.005,128,0.7911522633744856,0.20884773662551437,0.2302401065826416,3.0042291920306566e-06
"(64,)",0.005,256,0.7849794238683128,0.21502057613168724,0.16300368309020996,2.7570523169091587e-06
"(64,)",0.01,16,0.7818930041152263,0.21810699588477367,0.8406848907470703,3.92037396986306e-06
"(64,)",0.01,32,0.7839506172839507,0.21604938271604934,0.4776933193206787,3.3463768465797258e-06
"(64,)",0.01,64,0.7839506172839507,0.21604938271604934,0.32330918312072754,2.8897029471105973e-06
