layers,lr,batch,val_acc,error,time_s,co2_kg
"(32,)",0.0001,256,0.668724279835391,0.33127572016460904,0.11312508583068848,2.719013360636577e-06
"(32,)",0.005,32,0.7952674897119342,0.20473251028806583,0.43229007720947266,2.760881366562631e-06
"(32,)",0.005,256,0.7880658436213992,0.2119341563786008,0.11552739143371582,2.2500334249661217e-06
"(32,)",0.01,64,0.7932098765432098,0.20679012345679015,0.23725676536560059,2.3277102288962905e-06
"(32,)",0.05,256,0.7932098765432098,0.20679012345679015,0.10753941535949707,2.8421679887930634e-06
"(64,)",0.01,256,0.7962962962962963,0.20370370370370372,0.16633057594299316,2.915367922571699e-06
"(32, 32)",0.005,256,0.8004115226337448,0.19958847736625518,0.18004822731018066,2.9450318630215378e-06
"(32, 32)",0.01,256,0.8117283950617284,0.18827160493827155,0.1872692108154297,2.978308124853021e-06
"(64, 64)",0.005,128,0.7983539094650206,0.2016460905349794,0.49659013748168945,2.879627196360077e-06
"(64, 64)",0.01,256,0.7973251028806584,0.2026748971193416,0.4114573001861572,2.9323785855744245e-06
"(256, 256)",0.001,128,0.8189300411522634,0.18106995884773658,4.616003751754761,1.0176231445199434e-05
"(512, 512, 512, 512, 512, 512)",0.0001,64,0.8220164609053497,0.17798353909465026,149.89961099624634,0.00023268186917408485
