n_layers,n_neurons,learning_rate,batch_size,error,time_s,co2_kg
2,256,0.001,64,0.18724279835390945,6.911463499069214,1.4103841481368904e-05
1,32,0.01,256,0.21399176954732513,0.15545439720153809,2.915825055364308e-06
1,64,0.01,256,0.20370370370370372,0.21127963066101074,3.006580254338499e-06
1,32,0.005,64,0.2109053497942387,0.29811859130859375,2.535836164966615e-06
1,32,0.005,256,0.2119341563786008,0.13191843032836914,2.925803299822891e-06
1,32,0.05,256,0.20679012345679015,0.18122148513793945,2.9543997318248064e-06
1,64,0.001,64,0.20576131687242794,0.42105650901794434,2.6120117301994323e-06
1,32,0.001,256,0.22633744855967075,0.13794374465942383,2.889785224684007e-06
2,256,0.0005,64,0.18106995884773658,8.535885334014893,1.649011731106548e-05
5,32,0.05,128,0.20370370370370372,0.4359159469604492,2.6322739870639285e-06
1,32,0.01,32,0.19753086419753085,0.4243631362915039,2.7141704897739533e-06
1,32,0.0005,256,0.24485596707818935,0.1250782012939453,2.877950029209307e-06
1,32,0.05,128,0.21913580246913578,0.18294930458068848,2.648697580530312e-06
2,32,0.0005,256,0.2129629629629629,0.2978541851043701,2.370980231373267e-06
2,32,0.01,256,0.18827160493827155,0.23752522468566895,3.0341593852397832e-06
2,32,0.001,256,0.2119341563786008,0.19597482681274414,2.616790827124635e-06
