layers,lr,batch,val_acc,error,time_s,co2_kg
"(32, 32)",0.01,256,0.8117283950617284,0.18827160493827155,0.2332749366760254,3.048103750576476e-06
"(64,)",0.005,256,0.7849794238683128,0.21502057613168724,0.24230527877807617,2.81155577297866e-06
"(256, 256)",0.0005,64,0.8189300411522634,0.18106995884773658,13.253023147583008,2.352744495577231e-05
"(32,)",0.01,256,0.7860082304526749,0.21399176954732513,0.13008904457092285,2.8961382778607586e-06
