layers,lr,batch,val_acc,error,time_s,co2_kg
"(256,)",0.0001,64,0.7705761316872428,0.22942386831275718,0.6902379989624023,3.6566203794551284e-06
"(512, 512, 512, 512, 512, 512)",0.0005,64,0.801440329218107,0.19855967078189296,144.97688627243042,0.0002243539790603026
"(512, 512, 512)",0.01,128,0.8024691358024691,0.19753086419753085,34.11543869972229,5.5193663828439516e-05
"(32, 32, 32, 32)",0.01,256,0.7911522633744856,0.20884773662551437,0.38936734199523926,3.2575325343357454e-06
"(512, 512, 512, 512)",0.005,256,0.8004115226337448,0.19958847736625518,33.39836621284485,5.431677446102803e-05
"(512, 512, 512, 512, 512, 512)",0.0001,128,0.8137860082304527,0.18621399176954734,78.94615077972412,0.00012133194881380719
"(256, 256)",0.001,32,0.8076131687242798,0.1923868312757202,13.221329927444458,2.3471719708481884e-05
"(256, 256, 256, 256)",0.001,16,0.7983539094650206,0.2016460905349794,28.164719104766846,4.550528713011107e-05
"(32, 32, 32)",0.001,32,0.7880658436213992,0.2119341563786008,1.5171303749084473,5.191063821969864e-06
"(64, 64, 64, 64)",0.001,16,0.7860082304526749,0.21399176954732513,4.016129970550537,8.77269815782636e-06
"(32, 32)",0.01,64,0.7839506172839507,0.21604938271604934,0.5117440223693848,3.387052439228871e-06
"(512, 512)",0.05,256,0.7695473251028807,0.2304526748971193,11.72480297088623,2.1683847787040435e-05
"(32,)",0.05,128,0.7808641975308642,0.21913580246913578,0.21003437042236328,2.9985816269850574e-06
"(128, 128, 128)",0.001,256,0.8034979423868313,0.19650205761316875,5.1662681102752686,1.1200911063458646e-05
"(128, 128, 128, 128)",0.01,128,0.7942386831275721,0.20576131687242794,3.9077610969543457,8.720195424616557e-06
"(128, 128, 128, 128)",0.05,32,0.7561728395061729,0.24382716049382713,5.436963796615601,1.1156063491978615e-05
"(128, 128, 128, 128)",0.0001,128,0.7921810699588477,0.20781893004115226,4.039053678512573,8.887433593233227e-06
"(128, 128, 128, 128, 128)",0.05,128,0.7849794238683128,0.21502057613168724,4.766343355178833,9.880091157753406e-06
"(64, 64, 64)",0.01,16,0.7973251028806584,0.2026748971193416,3.103686809539795,7.658385071909348e-06
"(64, 64)",0.005,256,0.8045267489711934,0.19547325102880664,0.4940605163574219,3.387161418370247e-06
