n_layers,n_neurons,learning_rate,batch_size,val_accuracy,error,time_s,co2_kg
1,256,0.01,256,0.8076131687242798,0.1923868312757202,0.7528793811798096,3.4822718856476516e-06
5,32,0.0005,32,0.7921810699588477,0.20781893004115226,1.7839372158050537,5.4455735642036905e-06
4,64,0.01,256,0.7860082304526749,0.21399176954732513,0.9486925601959229,4.0822292926005815e-06
3,128,0.0001,32,0.7829218106995884,0.21707818930041156,4.572063207626343,9.751489655143777e-06
3,128,0.01,64,0.8045267489711934,0.19547325102880664,3.5118567943573,8.35106117925567e-06
6,32,0.01,128,0.7952674897119342,0.20473251028806583,0.9882485866546631,4.127779029129146e-06
1,128,0.01,16,0.8065843621399177,0.1934156378600823,1.197894811630249,4.648373081932106e-06
5,32,0.005,64,0.801440329218107,0.19855967078189296,1.1601521968841553,4.623414828524057e-06
2,256,0.001,64,0.8127572016460906,0.18724279835390945,12.048987627029419,2.2027717212183812e-05
1,256,0.01,128,0.7993827160493827,0.2006172839506173,0.5564789772033691,3.5067788856374478e-06
4,512,0.0005,256,0.7788065843621399,0.2211934156378601,31.253498554229736,7.313078736167198e-05
6,256,0.01,128,0.8055555555555556,0.19444444444444442,25.24300527572632,4.747900115222376e-05
5,64,0.005,64,0.7818930041152263,0.21810699588477367,1.5844812393188477,5.19441223304239e-06
5,512,0.001,64,0.7808641975308642,0.21913580246913578,119.51701402664185,0.00018437654047405728
5,128,0.005,64,0.7973251028806584,0.2026748971193416,4.889423847198486,1.0148068623402244e-05
5,64,0.005,256,0.7788065843621399,0.2211934156378601,1.2179327011108398,4.000038182454364e-06
4,512,0.0001,32,0.8168724279835391,0.1831275720164609,173.07718968391418,0.00026445440208765366
1,64,0.0001,16,0.7736625514403292,0.22633744855967075,0.9205114841461182,4.00884790918697e-06
6,32,0.0005,32,0.7880658436213992,0.2119341563786008,1.770185947418213,5.418705480727111e-06
3,128,0.0001,16,0.7901234567901234,0.2098765432098766,6.916775226593018,1.2926507771683959e-05
4,256,0.001,16,0.7983539094650206,0.2016460905349794,29.315677165985107,4.704844229707043e-05
3,32,0.01,16,0.7942386831275721,0.20576131687242794,1.759551763534546,5.099476770295343e-06
2,128,0.005,128,0.7870370370370371,0.2129629629629629,2.17307186126709,6.062604444416331e-06
6,32,0.001,128,0.7860082304526749,0.21399176954732513,0.69260573387146,3.6589196262864327e-06
5,256,0.05,128,0.7705761316872428,0.22942386831275718,22.219404220581055,4.0739160638755205e-05
4,128,0.005,64,0.808641975308642,0.191358024691358,3.8206186294555664,8.718688807154882e-06
3,64,0.0001,128,0.7788065843621399,0.2211934156378601,0.9202194213867188,4.011532639493207e-06
5,64,0.01,16,0.7890946502057613,0.2109053497942387,4.130026340484619,9.174263230320435e-06
4,128,0.005,256,0.7942386831275721,0.20576131687242794,6.469066619873047,1.3538547233297432e-05
3,256,0.005,64,0.8148148148148148,0.18518518518518523,21.9707190990448,3.62814536514887e-05
3,512,0.005,256,0.7993827160493827,0.2006172839506173,19.89430809020996,3.453825879638678e-05
2,128,0.005,16,0.7901234567901234,0.2098765432098766,4.248989582061768,9.284030684224214e-06
1,32,0.0001,64,0.727366255144033,0.27263374485596703,0.3266623020172119,3.1720064235558133e-06
4,512,0.005,128,0.8004115226337448,0.19958847736625518,48.10372281074524,7.586943168657394e-05
6,256,0.01,64,0.7685185185185185,0.2314814814814815,49.587246894836426,8.186129825205209e-05
1,256,0.0005,64,0.7901234567901234,0.2098765432098766,0.6720585823059082,3.6026884329336457e-06
