layers,lr,batch,val_acc,error,time_s,co2_kg
"(32,)",0.001,256,0.7736625514403292,0.22633744855967075,0.13358211517333984,2.876906093867684e-06
"(32,)",0.005,256,0.7880658436213992,0.2119341563786008,0.15714550018310547,3.19196075460257e-06
"(32,)",0.01,256,0.7860082304526749,0.21399176954732513,0.14313149452209473,2.4341790310906344e-06
"(32,)",0.05,256,0.7932098765432098,0.20679012345679015,0.16969537734985352,2.938026217434004e-06
"(64,)",0.01,256,0.7962962962962963,0.20370370370370372,0.22262835502624512,3.0154307324513746e-06
"(256,)",0.01,64,0.801440329218107,0.19855967078189296,0.6764342784881592,2.9251930978689226e-06
"(32, 32)",0.0005,256,0.7870370370370371,0.2129629629629629,0.24491500854492188,2.9371126190592143e-06
"(32, 32)",0.005,128,0.7952674897119342,0.20473251028806583,0.3393232822418213,2.937136441562469e-06
"(32, 32)",0.005,256,0.8004115226337448,0.19958847736625518,0.29683899879455566,3.1244808621730346e-06
"(32, 32)",0.01,256,0.8117283950617284,0.18827160493827155,0.3090088367462158,3.1260364288961806e-06
"(256, 256)",0.001,128,0.8189300411522634,0.18106995884773658,6.5258941650390625,1.3914011334579579e-05
"(32, 32, 32, 32, 32)",0.001,256,0.7973251028806584,0.2026748971193416,0.38716888427734375,2.7643543372807398e-06
"(32, 32, 32, 32, 32)",0.005,64,0.801440329218107,0.19855967078189296,0.7319459915161133,2.8701828833514254e-06
"(512, 512, 512, 512, 512, 512)",0.0001,64,0.8220164609053497,0.17798353909465026,119.77082681655884,0.0001863038027404755
